surah_index,surah_name_en,surah_name_ar,verse_index,text_rasm,text_normalized,abjad_value,juz_index,revelation_place,revelation_type,page_number
1,al-Fatihah,الفاتحة,1,﻿بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,﻿بسم الله الرحمن الرحيم,786,1.0,Mecca,Makkiyah,1
1,al-Fatihah,الفاتحة,2,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ,الحمد لله رب العلمين,581,1.0,Mecca,Makkiyah,1
1,al-Fatihah,الفاتحة,3,ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,الرحمن الرحيم,618,1.0,Mecca,Makkiyah,1
1,al-Fatihah,الفاتحة,4,مَٰلِكِ يَوْمِ ٱلدِّينِ,ملك يوم الدين,241,1.0,Mecca,Makkiyah,1
1,al-Fatihah,الفاتحة,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,اياك نعبد واياك نستعين,836,1.0,Mecca,Makkiyah,1
1,al-Fatihah,الفاتحة,6,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ,اهدنا الصرط المستقيم,1072,1.0,Mecca,Makkiyah,1
1,al-Fatihah,الفاتحة,7,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ,صرط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين,6009,1.0,Mecca,Makkiyah,1
2,al-Baqarah,البقرة,0,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,بسم الله الرحمن الرحيم,786,,Medina,Madaniyah,2
2,al-Baqarah,البقرة,1,الٓمٓ,الم,71,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,2,ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًۭى لِّلْمُتَّقِينَ,ذلك الكتب لا ريب ۛ فيه ۛ هدۭي للمتقين,2220,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,3,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ,الذين يؤمنون بالغيب ويقيمون الصلوه ومما رزقنهم ينفقون,3161,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,4,وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْءَاخِرَةِ هُمْ يُوقِنُونَ,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالءاخره هم يوقنون,2635,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,5,أُو۟لَٰٓئِكَ عَلَىٰ هُدًۭى مِّن رَّبِّهِمْ ۖ وَأُو۟لَٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ,او۟لئك علي هدۭي من ربهم ۖ واو۟لئك هم المفلحون,876,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,6,إِنَّ ٱلَّذِينَ كَفَرُوا۟ سَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,ان الذين كفروا۟ سواء عليهم ءانذرتهم ام لم تنذرهم لا يؤمنون,4462,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,7,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰٓ أَبْصَٰرِهِمْ غِشَٰوَةٌۭ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌۭ,ختم الله علي قلوبهم وعلي سمعهم ۖ وعلي ابصرهم غشوهۭ ۖ ولهم عذاب عظيمۭ,5369,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,8,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْءَاخِرِ وَمَا هُم بِمُؤْمِنِينَ,ومن الناس من يقول ءامنا بالله وباليوم الءاخر وما هم بمؤمنين,1847,1.0,Medina,Madaniyah,2
