--- Quran Word Frequency Analysis ---
Source: d:\Corporate Identity\Branding Assets\quran\quran_universal.parquet
Total Words Count: 82,456
Unique Words Count: 15,776

Top Frequent Words:
Rank   | Word                 | Count      | Frequency 
-------------------------------------------------------
1      | من                   | 2,589      | 3.1399%
2      | الله                 | 2,265      | 2.7469%
3      | ۚ                    | 1,972      | 2.3916%
4      | ۖ                    | 1,682      | 2.0399%
5      | ان                   | 1,603      | 1.9441%
6      | في                   | 1,185      | 1.4371%
7      | ما                   | 1,010      | 1.2249%
8      | لا                   | 812        | 0.9848%
9      | الذين                | 811        | 0.9836%
10     | الا                  | 761        | 0.9229%
11     | علي                  | 686        | 0.8320%
12     | ولا                  | 658        | 0.7980%
13     | وما                  | 646        | 0.7834%
14     | ۗ                    | 603        | 0.7313%
15     | الي                  | 432        | 0.5239%
16     | قال                  | 412        | 0.4997%
17     | لهم                  | 373        | 0.4524%
18     | ثم                   | 340        | 0.4123%
19     | ومن                  | 337        | 0.4087%
20     | لكم                  | 337        | 0.4087%
21     | كان                  | 333        | 0.4039%
22     | وان                  | 322        | 0.3905%
23     | بهۦ                  | 298        | 0.3614%
24     | قل                   | 298        | 0.3614%
25     | بما                  | 296        | 0.3590%
26     | الارض                | 287        | 0.3481%
27     | ذلك                  | 280        | 0.3396%
28     | او                   | 280        | 0.3396%
29     | الذي                 | 268        | 0.3250%
30     | هو                   | 265        | 0.3214%
31     | ءامنوا۟              | 263        | 0.3190%
32     | هم                   | 261        | 0.3165%
33     | قالوا۟               | 250        | 0.3032%
34     | لهۥ                  | 242        | 0.2935%
35     | فيها                 | 241        | 0.2923%
36     | والله                | 240        | 0.2911%
37     | كانوا۟               | 229        | 0.2777%
38     | كل                   | 223        | 0.2704%
39     | ربك                  | 220        | 0.2668%
40     | عن                   | 219        | 0.2656%
41     | عليهم                | 215        | 0.2607%
42     | يوم                  | 199        | 0.2413%
43     | ۞                    | 199        | 0.2413%
44     | اذا                  | 197        | 0.2389%
45     | هذا                  | 190        | 0.2304%
46     | كفروا۟               | 189        | 0.2292%
47     | كنتم                 | 188        | 0.2280%
48     | الناس                | 182        | 0.2207%
49     | السموت               | 182        | 0.2207%
50     | لم                   | 178        | 0.2159%
51     | انا                  | 178        | 0.2159%
52     | منۢ                  | 174        | 0.2110%
53     | وهو                  | 171        | 0.2074%
54     | فان                  | 169        | 0.2050%
55     | اذ                   | 165        | 0.2001%
56     | والذين               | 164        | 0.1989%
57     | عليكم                | 164        | 0.1989%
58     | الكتب                | 163        | 0.1977%
59     | انهۥ                 | 162        | 0.1965%
60     | اني                  | 161        | 0.1953%
61     | الرحمن               | 157        | 0.1904%
62     | والارض               | 157        | 0.1904%
63     | فلا                  | 156        | 0.1892%
64     | منهم                 | 153        | 0.1856%
65     | بعد                  | 147        | 0.1783%
66     | الرحيم               | 146        | 0.1771%
67     | عليه                 | 146        | 0.1771%
68     | يايها                | 142        | 0.1722%
69     | حتي                  | 142        | 0.1722%
70     | بالله                | 139        | 0.1686%
71     | وهم                  | 137        | 0.1661%
72     | او۟لئك               | 133        | 0.1613%
73     | انما                 | 132        | 0.1601%
74     | ام                   | 130        | 0.1577%
75     | واذا                 | 130        | 0.1577%
76     | ولقد                 | 129        | 0.1564%
77     | رب                   | 127        | 0.1540%
78     | بل                   | 127        | 0.1540%
79     | فيه                  | 126        | 0.1528%
80     | قد                   | 126        | 0.1528%
81     | عند                  | 119        | 0.1443%
82     | عذاب                 | 117        | 0.1419%
83     | شيءۢ                 | 117        | 0.1419%
84     | قبل                  | 117        | 0.1419%
85     | لله                  | 116        | 0.1407%
86     | يشاء                 | 116        | 0.1407%
87     | الدنيا               | 115        | 0.1395%
88     | بسم                  | 114        | 0.1383%
89     | ربهم                 | 111        | 0.1346%
90     | ولكن                 | 111        | 0.1346%
91     | ولو                  | 111        | 0.1346%
92     | مما                  | 111        | 0.1346%
93     | السماء               | 109        | 0.1322%
94     | الحق                 | 109        | 0.1322%
95     | منكم                 | 107        | 0.1298%
96     | ربنا                 | 106        | 0.1286%
97     | موسي                 | 105        | 0.1273%
98     | انهم                 | 104        | 0.1261%
99     | ربكم                 | 102        | 0.1237%
100    | النار                | 102        | 0.1237%
101    | فلما                 | 101        | 0.1225%
102    | انزل                 | 95         | 0.1152%
103    | لمن                  | 94         | 0.1140%
104    | ربي                  | 94         | 0.1140%
105    | دون                  | 91         | 0.1104%
106    | فمن                  | 89         | 0.1079%
107    | منه                  | 88         | 0.1067%
108    | يؤمنون               | 86         | 0.1043%
109    | فما                  | 86         | 0.1043%
110    | منها                 | 86         | 0.1043%
111    | كذلك                 | 86         | 0.1043%
112    | فاذا                 | 86         | 0.1043%
113    | العذاب               | 85         | 0.1031%
114    | وقال                 | 85         | 0.1031%
115    | الم                  | 84         | 0.1019%
116    | وكان                 | 84         | 0.1019%
117    | خلق                  | 83         | 0.1007%
118    | لنا                  | 83         | 0.1007%
119    | تعملون               | 83         | 0.1007%
120    | سبيل                 | 83         | 0.1007%
121    | يعلمون               | 82         | 0.0994%
122    | للذين                | 80         | 0.0970%
123    | بين                  | 79         | 0.0958%
124    | لو                   | 79         | 0.0958%
125    | بها                  | 79         | 0.0958%
126    | المؤمنين             | 78         | 0.0946%
127    | اليك                 | 77         | 0.0934%
128    | اليه                 | 76         | 0.0922%
129    | انتم                 | 76         | 0.0922%
130    | عنهم                 | 75         | 0.0910%
131    | بالحق                | 74         | 0.0897%
132    | لما                  | 73         | 0.0885%
133    | انفسهم               | 72         | 0.0873%
134    | واذ                  | 72         | 0.0873%
135    | جهنم                 | 72         | 0.0873%
136    | لك                   | 71         | 0.0861%
137    | يعلم                 | 71         | 0.0861%
138    | القيمه               | 71         | 0.0861%
139    | الءاخره              | 71         | 0.0861%
140    | غير                  | 69         | 0.0837%
141    | ۙ                    | 68         | 0.0825%
142    | هل                   | 67         | 0.0813%
143    | خيرۭ                 | 66         | 0.0800%
144    | قلوبهم               | 65         | 0.0788%
145    | نحن                  | 65         | 0.0788%
146    | التي                 | 65         | 0.0788%
147    | فرعون                | 65         | 0.0788%
148    | الظلمين              | 64         | 0.0776%
149    | العزيز               | 64         | 0.0776%
150    | الشيطن               | 63         | 0.0764%
151    | الحيوه               | 63         | 0.0764%
152    | لي                   | 63         | 0.0764%
153    | كنا                  | 63         | 0.0764%
154    | كيف                  | 62         | 0.0752%
155    | شيء                  | 62         | 0.0752%
156    | القوم                | 62         | 0.0752%
157    | العلمين              | 61         | 0.0740%
158    | الصلحت               | 61         | 0.0740%
159    | اصحب                 | 61         | 0.0740%
160    | وقالوا۟              | 61         | 0.0740%
161    | كما                  | 59         | 0.0716%
162    | لعلكم                | 59         | 0.0716%
163    | لن                   | 59         | 0.0716%
164    | اليل                 | 59         | 0.0716%
165    | الصلوه               | 58         | 0.0703%
166    | مع                   | 58         | 0.0703%
167    | بينهم                | 58         | 0.0703%
168    | اله                  | 58         | 0.0703%
169    | الانسن               | 58         | 0.0703%
170    | بايتنا               | 57         | 0.0691%
171    | شيۭا                 | 57         | 0.0691%
172    | فقد                  | 57         | 0.0691%
173    | عليك                 | 57         | 0.0691%
174    | جاء                  | 57         | 0.0691%
175    | شاء                  | 56         | 0.0679%
176    | تعلمون               | 56         | 0.0679%
177    | الجنه                | 56         | 0.0679%
178    | يعملون               | 56         | 0.0679%
179    | اعلم                 | 55         | 0.0667%
180    | انت                  | 55         | 0.0667%
181    | لقد                  | 54         | 0.0655%
182    | وعملوا۟              | 53         | 0.0643%
183    | انك                  | 53         | 0.0643%
184    | الكفرين              | 52         | 0.0631%
185    | قبلهم                | 52         | 0.0631%
186    | علم                  | 51         | 0.0619%
187    | علينا                | 51         | 0.0619%
188    | يقولون               | 51         | 0.0619%
